,AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel,Attitude,Age,Income,Education
118,3,0,5.0,5.0,9,,,,2.0,110106.0,,1998,,1,110106.0,,,2,3,1.0,1.0,2,2,8.0,2,1,3,4
119,3,0,3.0,3.0,9,4.0,4.0,,2.0,110106.0,24000.0,1966,,2,110106.0,,,2,3,2.0,1.0,1,1,4.0,2,2,2,3
120,1,0,4.0,4.0,9,,,,2.0,110112.0,,1961,,2,110106.0,2.0,2.0,2,3,1.0,1.0,1,1,4.0,1,2,3,3
121,1,0,3.0,3.0,9,,,,2.0,110106.0,,1960,,2,110106.0,2.0,1.0,1,3,1.0,1.0,1,1,3.0,1,2,3,2
122,3,0,2.0,5.0,9,1.0,1.0,2.0,2.0,110106.0,60000.0,1982,,2,110106.0,3.0,,2,3,2.0,1.0,1,3,8.0,2,2,2,4
123,1,0,2.0,5.0,9,,,,2.0,110111.0,,1960,,2,110106.0,1.0,1.0,2,3,1.0,1.0,1,1,4.0,1,2,3,3
124,1,0,3.0,4.0,9,,,,2.0,110106.0,,1959,,2,110106.0,,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
125,3,0,3.0,5.0,9,,,,2.0,110108.0,,1999,,1,350181.0,,,2,3,1.0,1.0,1,1,4.0,2,1,3,3
126,1,0,1.0,5.0,9,,,,2.0,110106.0,,1956,,5,110106.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,3,3,2
127,3,0,4.0,5.0,9,,,,2.0,110113.0,,1959,,2,110106.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
128,1,0,4.0,5.0,9,,,,2.0,110106.0,,1962,,2,110106.0,2.0,2.0,2,3,1.0,1.0,1,1,3.0,1,2,3,2
129,1,0,5.0,5.0,9,4.0,2.0,,2.0,110106.0,50000.0,1963,,2,110106.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
130,1,0,5.0,3.0,2,4.0,1.0,,2.0,131100.0,36000.0,1966,,4,110106.0,,2.0,2,3,1.0,1.0,1,1,3.0,1,2,2,2
131,3,0,3.0,4.0,9,,,,2.0,110106.0,,1964,,2,110106.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
